,0,1,2
0,画笔,huàbǐ,кисть для рисования
1,画,huà,рисовать
2,笔,bǐ,"пишущая принадлежность, ручка"
3,毛笔,máobǐ,кисть для письма
4,毛,máo,"шерсть, волосы (на теле)"
5,粉笔,fěnbǐ,мел
6,粉,fěn,"порошок, мука"
7,刀笔,dāobǐ,резец для письма на бамбуковых досочках
8,刀,dāo,нож
9,累,lèi,"уставший, уставать"
10,渴,kě,"хотеть пить, испытывать жажду"
11,铅笔,qiānbǐ,карандаш
12,铅笔盒,qiānbǐhé,пенал (для карандашей)
13,圆圆,yuányuán,круглый
14,光光,guāngguāng,"светлый, блестящий"
15,纸,zhǐ,бумага
16,报纸,bàozhǐ,газета
17,尺,chǐ,"чи, китайский фут (мера длины ∽1/3 метра), мерная линейка"
18,圆珠笔,yuánzhūbǐ,шариковая ручка
19,珠,zhū,"жемчужина, шарик"
20,水笔,shuǐbǐ,гелевая ручка / маркер
21,水,shuǐ,вода
22,钢笔,gāngbǐ,перьевая ручка
23,钢,gāng,сталь
24,乌克兰,Wūkèlán,Украина
25,白罗斯 /白俄,Báiluósī Báiéluósī,Беларусь
26,本子,běnzi,тетрадь
27,丽丽,Lì lì,Лили
28,文学,wénxué,литература
29,漂亮,piàoliang,"красивый, замечательный"
30,图书馆,túshūguǎn,библиотека
31,教室,jiàoshì,аудитория
32,实验室,shíyànshì,лаборатория
33,数学,shùxué,математика
34,高,gāo,высокий
35,帅,shuài,красивый (о мужчине)
36,楼,lóu,"здание, этаж"
37,读,dú,читать (в т.ч. “вслух”)
38,新,xīn,"новый, свежий"
39,常,cháng,часто
40,更,gèng,еще более
41,前进,qiánjìn,"идти вперед, продвигаться"
42,好像,hǎoxiàng,"похоже, что"
43,早晨,zǎochen,раннее утро (ок. 4:00-5:00)
44,前天,qiántiān,позавчера
45,来得及,láidejí,успеть
46,又,yòu,"опять, снова"
47,比,bǐ,"по сравнению с… (предлог), сравнивать (гл.)"
48,购物中心,gòuwù zhōngxīn,торговый центр
49,打印机,dǎyìnjī,принтер
50,复印机,fùyìnjī,ксерокс
51,电视,diànshì,телевизор
52,方便面,fāngbiànmiàn,лапша быстрого приготовления
53,方便米饭,fāngbiàn mǐfàn,рис быстрого приготовления
